Customer Age,Customer Gender,Product Purchased,Ticket Priority,Ticket Status,Ticket Type,Customer Satisfaction Rating,Customer Gender Encoded,Product Purchased Encoded,Ticket Priority Encoded,Ticket Status Encoded,Ticket Type Encoded
60,Male,GoPro Action Camera,Medium,Closed,Technical issue,1,1,15,3,0,4
36,Female,Fitbit Charge,Medium,Pending Customer Response,Billing inquiry,2,0,12,3,2,0
50,Male,Autodesk AutoCAD,Critical,Closed,Refund request,2,1,5,0,0,3
27,Male,Microsoft Xbox Controller,Low,Pending Customer Response,Refund request,2,1,27,2,2,3
24,Other,GoPro Hero,High,Closed,Cancellation request,0,2,16,1,0,1
65,Female,Canon EOS,Medium,Pending Customer Response,Refund request,2,0,9,3,2,3
39,Female,Amazon Kindle,Medium,Open,Product inquiry,2,0,2,3,1,2
19,Male,Google Pixel,Critical,Closed,Technical issue,1,1,18,0,0,4
33,Other,Amazon Echo,Medium,Pending Customer Response,Product inquiry,2,2,1,3,2,2
19,Female,PlayStation,Low,Pending Customer Response,Product inquiry,2,0,33,2,2,2
35,Male,Dell XPS,Critical,Closed,Billing inquiry,1,1,10,0,0,0
22,Male,Samsung Galaxy,Medium,Pending Customer Response,Product inquiry,2,1,35,3,2,2
54,Female,iPhone,Low,Open,Technical issue,2,0,41,2,1,4
34,Other,HP Pavilion,Critical,Closed,Refund request,0,2,19,0,0,3
65,Female,LG Smart TV,Low,Open,Product inquiry,2,0,21,2,1,2
50,Female,Nintendo Switch Pro Controller,High,Closed,Refund request,0,0,31,1,0,3
27,Female,GoPro Hero,Medium,Closed,Technical issue,0,0,16,3,0,4
32,Other,LG OLED,High,Open,Cancellation request,2,2,20,1,1,1
44,Male,Microsoft Office,Medium,Open,Technical issue,2,1,25,3,1,4
66,Male,Sony Xperia,Medium,Open,Refund request,2,1,39,3,1,3
64,Male,LG Smart TV,Medium,Closed,Refund request,1,1,21,3,0,3
54,Male,Nest Thermostat,High,Closed,Refund request,1,1,28,1,0,3
37,Male,HP Pavilion,Low,Closed,Cancellation request,2,1,19,2,0,1
68,Female,Microsoft Xbox Controller,Low,Pending Customer Response,Technical issue,2,0,27,2,2,4
50,Female,Nintendo Switch Pro Controller,Critical,Pending Customer Response,Cancellation request,2,0,31,0,2,1
69,Male,Autodesk AutoCAD,Medium,Pending Customer Response,Technical issue,2,1,5,3,2,4
47,Other,GoPro Action Camera,Critical,Open,Refund request,2,2,15,0,1,3
27,Male,Autodesk AutoCAD,Medium,Closed,Technical issue,2,1,5,3,0,4
40,Other,Apple AirPods,Medium,Closed,Product inquiry,1,2,3,3,0,2
40,Male,Sony 4K HDR TV,Medium,Closed,Cancellation request,0,1,37,3,0,1
41,Other,Lenovo ThinkPad,Critical,Pending Customer Response,Product inquiry,2,2,23,0,2,2
64,Female,Xbox,High,Closed,Billing inquiry,2,0,40,1,0,0
57,Female,Adobe Photoshop,High,Pending Customer Response,Billing inquiry,2,0,0,1,2,0
61,Male,Microsoft Xbox Controller,Medium,Open,Technical issue,2,1,27,3,1,4
56,Male,Apple AirPods,Medium,Pending Customer Response,Technical issue,2,1,3,3,2,4
49,Female,GoPro Hero,High,Closed,Billing inquiry,2,0,16,1,0,0
54,Male,Microsoft Office,Low,Pending Customer Response,Cancellation request,2,1,25,2,2,1
51,Other,Adobe Photoshop,Critical,Pending Customer Response,Technical issue,2,2,0,0,2,4
46,Female,Canon DSLR Camera,High,Closed,Refund request,0,0,8,1,0,3
27,Male,Google Pixel,Medium,Pending Customer Response,Cancellation request,2,1,18,3,2,1
37,Other,iPhone,Medium,Open,Refund request,2,2,41,3,1,3
34,Female,Dyson Vacuum Cleaner,Low,Closed,Billing inquiry,2,0,11,2,0,0
36,Other,Fitbit Charge,Critical,Closed,Cancellation request,1,2,12,0,0,1
31,Female,Xbox,Critical,Open,Billing inquiry,2,0,40,0,1,0
37,Other,Roomba Robot Vacuum,Critical,Closed,Product inquiry,0,2,34,0,0,2
18,Other,iPhone,Critical,Open,Cancellation request,2,2,41,0,1,1
63,Female,Fitbit Charge,Low,Closed,Billing inquiry,2,0,12,2,0,0
55,Other,Google Pixel,Medium,Pending Customer Response,Billing inquiry,2,2,18,3,2,0
40,Other,LG Smart TV,Critical,Pending Customer Response,Technical issue,2,2,21,0,2,4
50,Other,Microsoft Office,Critical,Pending Customer Response,Technical issue,2,2,25,0,2,4
29,Other,Apple AirPods,Medium,Pending Customer Response,Cancellation request,2,2,3,3,2,1
24,Male,PlayStation,Low,Closed,Refund request,0,1,33,2,0,3
57,Other,Autodesk AutoCAD,Critical,Pending Customer Response,Technical issue,2,2,5,0,2,4
67,Other,Microsoft Surface,Medium,Open,Technical issue,2,2,26,3,1,4
67,Female,Canon EOS,High,Open,Product inquiry,2,0,9,1,1,2
46,Male,Sony PlayStation,Critical,Closed,Technical issue,0,1,38,0,0,4
55,Other,Philips Hue Lights,High,Pending Customer Response,Technical issue,2,2,32,1,2,4
42,Other,Nikon D,Critical,Open,Billing inquiry,2,2,29,0,1,0
40,Male,Sony Xperia,Medium,Closed,Product inquiry,2,1,39,3,0,2
57,Other,Sony Xperia,High,Pending Customer Response,Refund request,2,2,39,1,2,3
62,Male,iPhone,Low,Pending Customer Response,Product inquiry,2,1,41,2,2,2
44,Male,Bose QuietComfort,Low,Pending Customer Response,Technical issue,2,1,6,2,2,4
32,Female,PlayStation,Low,Open,Refund request,2,0,33,2,1,3
65,Other,Microsoft Xbox Controller,Critical,Open,Product inquiry,2,2,27,0,1,2
60,Male,Autodesk AutoCAD,High,Closed,Product inquiry,2,1,5,1,0,2
18,Female,Roomba Robot Vacuum,High,Open,Cancellation request,2,0,34,1,1,1
22,Other,Xbox,High,Pending Customer Response,Product inquiry,2,2,40,1,2,2
38,Male,Samsung Galaxy,High,Closed,Billing inquiry,2,1,35,1,0,0
23,Other,Samsung Soundbar,Low,Pending Customer Response,Technical issue,2,2,36,2,2,4
39,Female,Dyson Vacuum Cleaner,High,Pending Customer Response,Cancellation request,2,0,11,1,2,1
18,Other,iPhone,Critical,Pending Customer Response,Billing inquiry,2,2,41,0,2,0
40,Female,Asus ROG,Critical,Closed,Refund request,1,0,4,0,0,3
49,Male,Dyson Vacuum Cleaner,High,Open,Refund request,2,1,11,1,1,3
58,Male,Fitbit Charge,High,Open,Refund request,2,1,12,1,1,3
56,Other,Dyson Vacuum Cleaner,Critical,Pending Customer Response,Product inquiry,2,2,11,0,2,2
42,Female,Nintendo Switch,Low,Closed,Cancellation request,0,0,30,2,0,1
50,Other,LG Smart TV,High,Pending Customer Response,Technical issue,2,2,21,1,2,4
33,Male,Dyson Vacuum Cleaner,Critical,Closed,Technical issue,2,1,11,0,0,4
59,Female,Bose SoundLink Speaker,High,Open,Product inquiry,2,0,7,1,1,2
60,Female,Amazon Echo,High,Closed,Cancellation request,0,0,1,1,0,1
68,Male,Nintendo Switch Pro Controller,High,Open,Refund request,2,1,31,1,1,3
68,Female,Samsung Galaxy,Medium,Open,Product inquiry,2,0,35,3,1,2
27,Other,Microsoft Office,High,Closed,Cancellation request,0,2,25,1,0,1
28,Female,Sony 4K HDR TV,High,Closed,Cancellation request,0,0,37,1,0,1
29,Male,iPhone,Critical,Open,Technical issue,2,1,41,0,1,4
20,Female,iPhone,High,Closed,Cancellation request,2,0,41,1,0,1
18,Male,Google Nest,Medium,Closed,Billing inquiry,2,1,17,3,0,0
39,Female,HP Pavilion,High,Open,Refund request,2,0,19,1,1,3
41,Female,Fitbit Charge,Low,Closed,Billing inquiry,0,0,12,2,0,0
56,Male,Amazon Kindle,Medium,Pending Customer Response,Billing inquiry,2,1,2,3,2,0
37,Other,Bose SoundLink Speaker,Critical,Open,Product inquiry,2,2,7,0,1,2
29,Other,Dell XPS,Low,Open,Refund request,2,2,10,2,1,3
36,Other,Samsung Galaxy,Low,Pending Customer Response,Product inquiry,2,2,35,2,2,2
63,Male,Dyson Vacuum Cleaner,High,Pending Customer Response,Technical issue,2,1,11,1,2,4
45,Male,Philips Hue Lights,Medium,Open,Refund request,2,1,32,3,1,3
68,Female,Lenovo ThinkPad,Low,Open,Billing inquiry,2,0,23,2,1,0
57,Male,Xbox,Low,Pending Customer Response,Refund request,2,1,40,2,2,3
49,Male,Adobe Photoshop,Medium,Closed,Cancellation request,1,1,0,3,0,1
55,Other,Amazon Echo,Low,Pending Customer Response,Cancellation request,2,2,1,2,2,1
43,Male,Asus ROG,Medium,Closed,Billing inquiry,0,1,4,3,0,0
49,Male,LG Smart TV,Critical,Pending Customer Response,Product inquiry,2,1,21,0,2,2
65,Female,PlayStation,Medium,Open,Cancellation request,2,0,33,3,1,1
50,Male,Nintendo Switch,Critical,Closed,Refund request,2,1,30,0,0,3
66,Male,PlayStation,Critical,Closed,Cancellation request,0,1,33,0,0,1
35,Female,Samsung Galaxy,Low,Pending Customer Response,Product inquiry,2,0,35,2,2,2
46,Other,Bose SoundLink Speaker,Critical,Open,Cancellation request,2,2,7,0,1,1
21,Other,Amazon Echo,Low,Closed,Technical issue,2,2,1,2,0,4
58,Male,Adobe Photoshop,Critical,Closed,Product inquiry,0,1,0,0,0,2
31,Other,LG OLED,Low,Pending Customer Response,Cancellation request,2,2,20,2,2,1
47,Male,LG Washing Machine,Critical,Closed,Cancellation request,0,1,22,0,0,1
31,Other,Sony PlayStation,High,Closed,Technical issue,0,2,38,1,0,4
38,Female,Roomba Robot Vacuum,High,Pending Customer Response,Billing inquiry,2,0,34,1,2,0
38,Female,Canon DSLR Camera,Critical,Open,Cancellation request,2,0,8,0,1,1
25,Female,Canon EOS,Low,Open,Refund request,2,0,9,2,1,3
46,Male,Philips Hue Lights,Medium,Pending Customer Response,Cancellation request,2,1,32,3,2,1
39,Male,Lenovo ThinkPad,Low,Open,Cancellation request,2,1,23,2,1,1
22,Female,Apple AirPods,Low,Closed,Billing inquiry,1,0,3,2,0,0
40,Other,LG Washing Machine,High,Closed,Refund request,0,2,22,1,0,3
64,Female,Philips Hue Lights,Critical,Closed,Technical issue,1,0,32,0,0,4
29,Female,Google Pixel,Critical,Closed,Refund request,2,0,18,0,0,3
45,Other,Xbox,Medium,Pending Customer Response,Refund request,2,2,40,3,2,3
46,Other,GoPro Hero,Low,Pending Customer Response,Product inquiry,2,2,16,2,2,2
58,Male,GoPro Action Camera,Medium,Pending Customer Response,Technical issue,2,1,15,3,2,4
55,Female,Roomba Robot Vacuum,Medium,Open,Technical issue,2,0,34,3,1,4
52,Male,HP Pavilion,Low,Open,Cancellation request,2,1,19,2,1,1
20,Male,Asus ROG,Low,Open,Product inquiry,2,1,4,2,1,2
69,Male,Nintendo Switch,Medium,Open,Technical issue,2,1,30,3,1,4
35,Male,Dyson Vacuum Cleaner,Low,Pending Customer Response,Product inquiry,2,1,11,2,2,2
55,Other,Sony Xperia,High,Pending Customer Response,Billing inquiry,2,2,39,1,2,0
19,Female,Lenovo ThinkPad,High,Pending Customer Response,Refund request,2,0,23,1,2,3
29,Female,HP Pavilion,High,Closed,Refund request,1,0,19,1,0,3
30,Male,Bose SoundLink Speaker,Critical,Closed,Refund request,0,1,7,0,0,3
34,Male,Microsoft Office,Medium,Closed,Cancellation request,1,1,25,3,0,1
24,Male,HP Pavilion,Low,Closed,Billing inquiry,2,1,19,2,0,0
33,Male,Bose QuietComfort,Low,Pending Customer Response,Product inquiry,2,1,6,2,2,2
32,Female,Xbox,Medium,Closed,Refund request,1,0,40,3,0,3
41,Male,Garmin Forerunner,Medium,Closed,Technical issue,1,1,14,3,0,4
51,Other,Lenovo ThinkPad,High,Open,Billing inquiry,2,2,23,1,1,0
30,Male,Sony Xperia,Medium,Closed,Product inquiry,0,1,39,3,0,2
44,Female,Microsoft Office,Low,Closed,Billing inquiry,2,0,25,2,0,0
33,Female,Sony PlayStation,Low,Open,Refund request,2,0,38,2,1,3
36,Other,Nest Thermostat,Medium,Pending Customer Response,Cancellation request,2,2,28,3,2,1
50,Other,Lenovo ThinkPad,Medium,Pending Customer Response,Refund request,2,2,23,3,2,3
37,Male,LG Smart TV,Critical,Pending Customer Response,Technical issue,2,1,21,0,2,4
42,Other,PlayStation,Medium,Closed,Technical issue,2,2,33,3,0,4
49,Female,Sony 4K HDR TV,Medium,Pending Customer Response,Technical issue,2,0,37,3,2,4
27,Other,Dyson Vacuum Cleaner,High,Pending Customer Response,Cancellation request,2,2,11,1,2,1
25,Other,Adobe Photoshop,Medium,Open,Billing inquiry,2,2,0,3,1,0
58,Female,Google Pixel,Critical,Pending Customer Response,Billing inquiry,2,0,18,0,2,0
60,Other,MacBook Pro,Medium,Pending Customer Response,Refund request,2,2,24,3,2,3
34,Other,Amazon Kindle,Critical,Pending Customer Response,Cancellation request,2,2,2,0,2,1
33,Female,Samsung Soundbar,High,Closed,Product inquiry,2,0,36,1,0,2
32,Female,Google Pixel,Medium,Closed,Billing inquiry,2,0,18,3,0,0
29,Female,Roomba Robot Vacuum,High,Pending Customer Response,Refund request,2,0,34,1,2,3
50,Other,Sony 4K HDR TV,Low,Open,Technical issue,2,2,37,2,1,4
33,Female,iPhone,Medium,Pending Customer Response,Product inquiry,2,0,41,3,2,2
46,Male,Lenovo ThinkPad,Low,Pending Customer Response,Cancellation request,2,1,23,2,2,1
37,Other,Roomba Robot Vacuum,High,Closed,Refund request,0,2,34,1,0,3
46,Other,LG Smart TV,Critical,Open,Technical issue,2,2,21,0,1,4
70,Other,iPhone,Critical,Pending Customer Response,Refund request,2,2,41,0,2,3
57,Female,Fitbit Charge,Low,Pending Customer Response,Product inquiry,2,0,12,2,2,2
58,Other,GoPro Hero,Medium,Closed,Product inquiry,0,2,16,3,0,2
18,Male,GoPro Hero,Critical,Pending Customer Response,Cancellation request,2,1,16,0,2,1
57,Male,Samsung Soundbar,Medium,Closed,Billing inquiry,0,1,36,3,0,0
29,Other,Nest Thermostat,High,Open,Refund request,2,2,28,1,1,3
66,Female,HP Pavilion,Low,Pending Customer Response,Refund request,2,0,19,2,2,3
30,Male,MacBook Pro,High,Closed,Refund request,1,1,24,1,0,3
60,Female,Amazon Echo,Critical,Closed,Cancellation request,2,0,1,0,0,1
66,Other,Canon EOS,Medium,Closed,Product inquiry,2,2,9,3,0,2
51,Other,Asus ROG,Critical,Open,Product inquiry,2,2,4,0,1,2
55,Other,Garmin Forerunner,Medium,Open,Refund request,2,2,14,3,1,3
26,Female,Lenovo ThinkPad,Medium,Open,Billing inquiry,2,0,23,3,1,0
46,Male,LG OLED,Low,Pending Customer Response,Product inquiry,2,1,20,2,2,2
43,Female,Google Nest,High,Closed,Cancellation request,1,0,17,1,0,1
55,Male,Sony Xperia,Medium,Closed,Refund request,0,1,39,3,0,3
47,Male,Roomba Robot Vacuum,High,Open,Billing inquiry,2,1,34,1,1,0
48,Female,Nest Thermostat,Critical,Pending Customer Response,Billing inquiry,2,0,28,0,2,0
38,Male,Canon EOS,High,Open,Refund request,2,1,9,1,1,3
62,Other,Nintendo Switch Pro Controller,Low,Closed,Technical issue,0,2,31,2,0,4
39,Male,Sony 4K HDR TV,Low,Pending Customer Response,Technical issue,2,1,37,2,2,4
49,Other,LG Smart TV,Low,Pending Customer Response,Product inquiry,2,2,21,2,2,2
34,Female,GoPro Action Camera,Medium,Open,Technical issue,2,0,15,3,1,4
62,Male,Apple AirPods,High,Open,Billing inquiry,2,1,3,1,1,0
28,Male,Asus ROG,Low,Open,Product inquiry,2,1,4,2,1,2
59,Female,Sony 4K HDR TV,Critical,Open,Billing inquiry,2,0,37,0,1,0
18,Female,Samsung Galaxy,High,Pending Customer Response,Technical issue,2,0,35,1,2,4
20,Other,Nintendo Switch,Low,Open,Billing inquiry,2,2,30,2,1,0
44,Male,Philips Hue Lights,Critical,Pending Customer Response,Billing inquiry,2,1,32,0,2,0
65,Female,Canon EOS,Critical,Closed,Technical issue,0,0,9,0,0,4
70,Female,Sony Xperia,Medium,Closed,Billing inquiry,2,0,39,3,0,0
34,Other,Dyson Vacuum Cleaner,Critical,Pending Customer Response,Billing inquiry,2,2,11,0,2,0
64,Other,Samsung Soundbar,Critical,Pending Customer Response,Cancellation request,2,2,36,0,2,1
67,Female,Lenovo ThinkPad,Low,Pending Customer Response,Refund request,2,0,23,2,2,3
59,Male,GoPro Hero,Medium,Open,Refund request,2,1,16,3,1,3
35,Female,PlayStation,High,Closed,Technical issue,2,0,33,1,0,4
53,Female,Apple AirPods,High,Closed,Billing inquiry,2,0,3,1,0,0
56,Male,HP Pavilion,Low,Pending Customer Response,Cancellation request,2,1,19,2,2,1
32,Male,Sony PlayStation,Low,Open,Billing inquiry,2,1,38,2,1,0
66,Male,Microsoft Xbox Controller,Critical,Closed,Technical issue,0,1,27,0,0,4
65,Male,Dyson Vacuum Cleaner,Low,Pending Customer Response,Refund request,2,1,11,2,2,3
55,Male,Fitbit Versa Smartwatch,High,Pending Customer Response,Technical issue,2,1,13,1,2,4
40,Male,HP Pavilion,High,Open,Technical issue,2,1,19,1,1,4
67,Other,Bose SoundLink Speaker,High,Pending Customer Response,Refund request,2,2,7,1,2,3
65,Female,Dyson Vacuum Cleaner,Critical,Open,Cancellation request,2,0,11,0,1,1
18,Female,Canon EOS,Critical,Pending Customer Response,Billing inquiry,2,0,9,0,2,0
40,Male,iPhone,Critical,Closed,Refund request,1,1,41,0,0,3
31,Male,Sony Xperia,High,Closed,Product inquiry,2,1,39,1,0,2
69,Female,LG Smart TV,Critical,Pending Customer Response,Refund request,2,0,21,0,2,3
48,Male,Nest Thermostat,Low,Open,Cancellation request,2,1,28,2,1,1
66,Male,Philips Hue Lights,Low,Closed,Technical issue,2,1,32,2,0,4
55,Male,iPhone,Low,Closed,Billing inquiry,0,1,41,2,0,0
30,Male,Fitbit Charge,Critical,Open,Technical issue,2,1,12,0,1,4
43,Other,LG Washing Machine,Critical,Pending Customer Response,Technical issue,2,2,22,0,2,4
66,Female,Microsoft Office,Medium,Pending Customer Response,Cancellation request,2,0,25,3,2,1
55,Male,iPhone,Medium,Pending Customer Response,Billing inquiry,2,1,41,3,2,0
59,Male,GoPro Hero,Medium,Pending Customer Response,Technical issue,2,1,16,3,2,4
37,Other,Microsoft Xbox Controller,Medium,Open,Billing inquiry,2,2,27,3,1,0
44,Male,Autodesk AutoCAD,Critical,Pending Customer Response,Refund request,2,1,5,0,2,3
35,Male,Sony PlayStation,High,Closed,Refund request,1,1,38,1,0,3
19,Female,Roomba Robot Vacuum,Critical,Closed,Technical issue,0,0,34,0,0,4
29,Other,Microsoft Xbox Controller,Critical,Pending Customer Response,Technical issue,2,2,27,0,2,4
40,Other,GoPro Action Camera,High,Pending Customer Response,Cancellation request,2,2,15,1,2,1
69,Female,MacBook Pro,High,Pending Customer Response,Technical issue,2,0,24,1,2,4
51,Female,Google Pixel,Low,Pending Customer Response,Refund request,2,0,18,2,2,3
58,Female,Autodesk AutoCAD,High,Open,Refund request,2,0,5,1,1,3
58,Female,Google Nest,High,Pending Customer Response,Cancellation request,2,0,17,1,2,1
24,Female,Nintendo Switch Pro Controller,High,Open,Cancellation request,2,0,31,1,1,1
59,Female,Nintendo Switch,High,Open,Product inquiry,2,0,30,1,1,2
33,Male,PlayStation,Low,Closed,Billing inquiry,2,1,33,2,0,0
56,Other,Amazon Kindle,High,Pending Customer Response,Billing inquiry,2,2,2,1,2,0
42,Female,Canon DSLR Camera,Critical,Open,Billing inquiry,2,0,8,0,1,0
48,Male,Microsoft Surface,Medium,Closed,Product inquiry,0,1,26,3,0,2
52,Male,GoPro Hero,Medium,Open,Product inquiry,2,1,16,3,1,2
46,Other,Sony Xperia,Critical,Closed,Refund request,1,2,39,0,0,3
29,Male,LG OLED,Medium,Closed,Cancellation request,0,1,20,3,0,1
20,Female,Amazon Echo,High,Open,Technical issue,2,0,1,1,1,4
37,Male,Google Nest,Low,Open,Technical issue,2,1,17,2,1,4
69,Female,Microsoft Surface,Medium,Pending Customer Response,Cancellation request,2,0,26,3,2,1
64,Other,MacBook Pro,High,Closed,Refund request,1,2,24,1,0,3
63,Male,Xbox,Critical,Closed,Billing inquiry,0,1,40,0,0,0
44,Other,Amazon Kindle,Critical,Open,Refund request,2,2,2,0,1,3
43,Male,LG OLED,Critical,Pending Customer Response,Technical issue,2,1,20,0,2,4
35,Other,Samsung Galaxy,High,Open,Technical issue,2,2,35,1,1,4
53,Male,Sony 4K HDR TV,Medium,Open,Cancellation request,2,1,37,3,1,1
61,Female,Bose SoundLink Speaker,Low,Open,Refund request,2,0,7,2,1,3
63,Female,Bose QuietComfort,Medium,Open,Billing inquiry,2,0,6,3,1,0
39,Female,Autodesk AutoCAD,Medium,Closed,Billing inquiry,2,0,5,3,0,0
21,Other,Apple AirPods,Low,Closed,Technical issue,2,2,3,2,0,4
40,Female,PlayStation,High,Pending Customer Response,Billing inquiry,2,0,33,1,2,0
33,Male,Bose SoundLink Speaker,Critical,Closed,Product inquiry,0,1,7,0,0,2
52,Male,Lenovo ThinkPad,Low,Pending Customer Response,Product inquiry,2,1,23,2,2,2
64,Male,Google Pixel,Low,Open,Cancellation request,2,1,18,2,1,1
39,Other,Canon DSLR Camera,Critical,Open,Technical issue,2,2,8,0,1,4
35,Female,Microsoft Xbox Controller,Low,Pending Customer Response,Billing inquiry,2,0,27,2,2,0
24,Female,Amazon Kindle,Medium,Pending Customer Response,Technical issue,2,0,2,3,2,4
25,Other,Nintendo Switch,Critical,Pending Customer Response,Technical issue,2,2,30,0,2,4
37,Other,LG OLED,Low,Open,Product inquiry,2,2,20,2,1,2
54,Other,Garmin Forerunner,High,Open,Refund request,2,2,14,1,1,3
30,Other,Bose SoundLink Speaker,Critical,Pending Customer Response,Refund request,2,2,7,0,2,3
58,Other,Roomba Robot Vacuum,Low,Pending Customer Response,Billing inquiry,2,2,34,2,2,0
26,Male,HP Pavilion,High,Open,Cancellation request,2,1,19,1,1,1
35,Female,Philips Hue Lights,High,Closed,Billing inquiry,0,0,32,1,0,0
65,Male,Roomba Robot Vacuum,Critical,Open,Product inquiry,2,1,34,0,1,2
58,Female,Philips Hue Lights,Critical,Closed,Product inquiry,1,0,32,0,0,2
29,Female,Dyson Vacuum Cleaner,Medium,Open,Refund request,2,0,11,3,1,3
26,Female,Microsoft Xbox Controller,Medium,Closed,Billing inquiry,2,0,27,3,0,0
24,Male,Apple AirPods,Critical,Closed,Cancellation request,0,1,3,0,0,1
22,Other,GoPro Hero,Low,Open,Product inquiry,2,2,16,2,1,2
68,Female,Canon DSLR Camera,Medium,Pending Customer Response,Cancellation request,2,0,8,3,2,1
59,Other,Amazon Kindle,High,Open,Cancellation request,2,2,2,1,1,1
30,Other,Canon DSLR Camera,Medium,Open,Cancellation request,2,2,8,3,1,1
44,Male,Amazon Kindle,Medium,Closed,Product inquiry,0,1,2,3,0,2
28,Female,Bose SoundLink Speaker,Medium,Pending Customer Response,Cancellation request,2,0,7,3,2,1
53,Female,Amazon Kindle,Medium,Closed,Cancellation request,2,0,2,3,0,1
33,Female,Microsoft Xbox Controller,Critical,Open,Cancellation request,2,0,27,0,1,1
32,Female,GoPro Action Camera,Low,Closed,Refund request,0,0,15,2,0,3
21,Female,LG OLED,Critical,Pending Customer Response,Technical issue,2,0,20,0,2,4
19,Other,Fitbit Versa Smartwatch,High,Open,Product inquiry,2,2,13,1,1,2
62,Female,Samsung Galaxy,High,Open,Technical issue,2,0,35,1,1,4
53,Male,Nintendo Switch Pro Controller,High,Closed,Technical issue,0,1,31,1,0,4
46,Female,Bose QuietComfort,Critical,Closed,Refund request,0,0,6,0,0,3
46,Female,Microsoft Xbox Controller,Medium,Closed,Technical issue,0,0,27,3,0,4
18,Male,Amazon Echo,Low,Open,Product inquiry,2,1,1,2,1,2
30,Female,GoPro Hero,High,Closed,Cancellation request,0,0,16,1,0,1
33,Other,Fitbit Versa Smartwatch,Critical,Pending Customer Response,Cancellation request,2,2,13,0,2,1
52,Male,Samsung Galaxy,High,Open,Cancellation request,2,1,35,1,1,1
18,Male,Apple AirPods,Low,Closed,Technical issue,2,1,3,2,0,4
28,Female,Nintendo Switch,Medium,Pending Customer Response,Billing inquiry,2,0,30,3,2,0
29,Female,Nest Thermostat,Critical,Open,Refund request,2,0,28,0,1,3
27,Other,Nest Thermostat,Medium,Closed,Cancellation request,2,2,28,3,0,1
66,Female,Adobe Photoshop,High,Open,Billing inquiry,2,0,0,1,1,0
70,Male,Canon DSLR Camera,Critical,Closed,Refund request,1,1,8,0,0,3
47,Other,Canon DSLR Camera,Critical,Open,Technical issue,2,2,8,0,1,4
66,Other,LG Washing Machine,Low,Pending Customer Response,Product inquiry,2,2,22,2,2,2
52,Female,Microsoft Surface,Low,Closed,Refund request,2,0,26,2,0,3
69,Male,GoPro Action Camera,Critical,Pending Customer Response,Product inquiry,2,1,15,0,2,2
45,Other,Sony PlayStation,Low,Open,Refund request,2,2,38,2,1,3
58,Female,Nikon D,Medium,Open,Technical issue,2,0,29,3,1,4
45,Female,GoPro Hero,Medium,Closed,Refund request,2,0,16,3,0,3
